iso3,year,value,wb_indicator,canonical_name,var_year
CAF,2019,2221301351.43918,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2019
CAF,2018,2220979146.11241,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2018
TCD,2024,19518819751.283,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2024
TCD,2023,18340233748.8805,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2023
TCD,2022,17828508289.6049,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2022
TCD,2021,16871937697.5854,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2021
TCD,2020,14932897821.2387,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2020
TCD,2019,14905517742.8454,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2019
TCD,2018,15327000248.8701,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2018
CHI,2023,12507320838.3932,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2023
CHI,2022,11308272505.183,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2022
CHI,2021,11157540109.8939,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2021
CHI,2020,9439810769.23077,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2020
CHI,2019,10031864649.0819,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2019
CHI,2018,10026394043.6136,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2018
CHL,2024,330267137371.592,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2024
CHL,2023,335518054097.637,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2023
CHL,2022,301226575540.242,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2022
CHL,2021,315325547162.072,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2021
CHL,2020,254042159309.311,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2020
